Rank 2 start loading data...
Rank 3 start loading data...
Rank 0 start loading data...Rank 1 start loading data...

UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
0 start loading model...
2start training...
3start training...
1start training...
0start training...




TRAIN: | epoch   0 |   280/ 7183 batches | 
TRAIN: | epoch   0 |   281/ 7183 batches | 
TRAIN: | epoch   0 |   282/ 7183 batches | 
TRAIN: | epoch   0 |   283/ 7183 batches | 
TRAIN: | epoch   0 |   284/ 7183 batches | 
TRAIN: | epoch   0 |   285/ 7183 batches | 
TRAIN: | epoch   0 |   286/ 7183 batches | 
TRAIN: | epoch   0 |   287/ 7183 batches | 
TRAIN: | epoch   0 |   288/ 7183 batches | 
TRAIN: | epoch   0 |   289/ 7183 batches | 
TRAIN: | epoch   0 |   290/ 7183 batches | 
TRAIN: | epoch   0 |   291/ 7183 batches | 
TRAIN: | epoch   0 |   292/ 7183 batches | 
TRAIN: | epoch   0 |   293/ 7183 batches | 
TRAIN: | epoch   0 |   294/ 7183 batches | 
TRAIN: | epoch   0 |   295/ 7183 batches | 
TRAIN: | epoch   0 |   296/ 7183 batches | 
TRAIN: | epoch   0 |   297/ 7183 batches | 
TRAIN: | epoch   0 |   298/ 7183 batches | 
TRAIN: | epoch   0 |   299/ 7183 batches | 
TRAIN: | epoch   0 |   300/ 7183 batches | 
TRAIN: | epoch   0 |   301/ 7183 batches | 
TRAIN: | epoch   0 |   302/ 7183 batches | 
TRAIN: | epoch   0 |   303/ 7183 batches | 
TRAIN: | epoch   0 |   304/ 7183 batches | 
TRAIN: | epoch   0 |   305/ 7183 batches | 
TRAIN: | epoch   0 |   306/ 7183 batches | 
TRAIN: | epoch   0 |   307/ 7183 batches | 
TRAIN: | epoch   0 |   308/ 7183 batches | 
TRAIN: | epoch   0 |   309/ 7183 batches | 
TRAIN: | epoch   0 |   310/ 7183 batches | 
TRAIN: | epoch   0 |   311/ 7183 batches | 
TRAIN: | epoch   0 |   312/ 7183 batches | 
TRAIN: | epoch   0 |   313/ 7183 batches | 
TRAIN: | epoch   0 |   314/ 7183 batches | 
TRAIN: | epoch   0 |   315/ 7183 batches | 
TRAIN: | epoch   0 |   316/ 7183 batches | 
TRAIN: | epoch   0 |   317/ 7183 batches | 
TRAIN: | epoch   0 |   318/ 7183 batches | 
TRAIN: | epoch   0 |   319/ 7183 batches | 
TRAIN: | epoch   0 |   320/ 7183 batches | 
TRAIN: | epoch   0 |   321/ 7183 batches | 
